group,mhc_class,Kd_M,pti_pae_raw
cognate,I,0.0004,3.010958433151245
cognate,I,7.350000000000001e-6,2.483576774597168
cognate,I,0.00001285,16.44231414794922
cognate,I,8.81e-6,2.1799535751342773
cognate,I,0.00001147,13.245288848876953
cognate,I,8.97e-6,16.44231414794922
cognate,I,0.000082,23.64611053466797
cognate,I,0.0002,5.441920280456543
cognate,I,0.00008350000000000001,5.517548084259033
cognate,I,1.52e-8,2.224931001663208
cognate,I,7.16e-6,14.688931465148926
cognate,I,2.2e-7,4.73053503036499
cognate,I,0.00001147,14.688931465148926
cognate,I,0.0004,2.748800039291382
cognate,I,0.00005,11.003174781799316
cognate,I,0.000027700000000000002,5.3275628089904785
cognate,I,0.000023,3.1055901050567627
cognate,I,0.00001236,18.840457916259766
cognate,I,2.3e-9,2.3869664669036865
cognate,I,0.00001285,18.081453323364258
cognate,I,0.000032000000000000005,2.4190332889556885
cognate,I,6.24e-6,2.232266664505005
cognate,I,6.210000000000001e-6,2.232266664505005
cognate,I,0.0000794,5.166738510131836
cognate,I,9.48e-6,2.1799535751342773
cognate,I,3.4e-6,15.676737785339355
cognate,I,0.00002039,18.840457916259766
cognate,I,0.0000127,3.307076930999756
cognate,I,0.0002896,3.2218000888824463
cognate,I,9.7e-6,21.01375961303711
cognate,I,0.000026000000000000002,3.7043650150299072
cognate,I,0.00011,14.286521911621094
cognate,I,6.210000000000001e-6,2.090772867202759
cognate,I,1.22e-7,2.224931001663208
cognate,I,7.16e-6,13.245288848876953
cognate,I,8.81e-6,2.224844217300415
cognate,I,2.4000000000000003e-7,4.7599592208862305
cognate,I,8.97e-6,18.081453323364258
cognate,I,1e-9,2.4379334449768066
cognate,I,4.5000000000000006e-8,2.4190332889556885
cognate,I,0.00002039,17.407665252685547
cognate,I,0.000041500000000000006,10.220396041870117
cognate,I,9.800000000000001e-6,8.094740867614746
cognate,I,6.24e-6,2.090772867202759
cognate,I,0.00005,21.45294952392578
cognate,I,1.8000000000000001e-6,3.102125644683838
cognate,I,0.000133,4.555854797363281
cognate,I,0.00011,17.053672790527344
cognate,I,0.0001406,5.1405768394470215
cognate,I,0.00001236,17.407665252685547
cognate,I,0.0001767,7.325594902038574
cognate,I,0.0000327,6.3361687660217285
cognate,I,0.00011,23.261863708496094
cognate,I,9.75e-6,2.467926025390625
cognate,I,3e-6,2.112551689147949
cognate,I,0.00005,21.01375961303711
cognate,I,3.2000000000000003e-6,2.864907741546631
cognate,I,0.00005215,3.047442674636841
cognate,I,2.6000000000000003e-10,2.224931001663208
cognate,I,5.1e-6,2.036266565322876
cognate,I,0.00011,15.24561595916748
cognate,I,0.000028800000000000002,6.268852233886719
cognate,I,9.48e-6,2.224844217300415
cognate,I,0.00011,17.234054565429688
cognate,I,0.000023,15.676737785339355
cognate,I,0.0004,2.826200008392334
cognate,I,0.0004,2.904045581817627
cognate,II,0.00022,10.728363990783691
cognate,II,0.00045000000000000004,9.976017951965332
cognate,II,0.00067,15.205364227294922
cognate,II,8.1e-6,7.010135173797607
